U235,U236,U237,U239,Np238,Pu239,Pu240,Pu241,Pu242,Pu243,Am242,Am243
46.983,0.044942,95.117,55.996,13.037,49.684,97.707,63.572,6.6229,27.96,22.757,50.133
17.319,0.06765,74.611,74.135,14.781,83.143,0.28446,77.949,4.7496,42.237,23.565,71.49
65.905,0.13748,119.44,77.231,16.759,86.761,0.25838,80.184,0.12099,32.791,24.132,209.44
41.828,0.3876,194.59,94.548,18.984,6.3985,0.37304,45.693,0.19534,46.366,6.6337,62.281
18.197,2.1174,8.7108,12.649,23.152,73.187,0.62768,37.184,0.41249,70.497,132.84,343.14
40.069,1110.5,91.796,149.19,35.515,1.232,1.1532,19.834,1.0368,6.4967,9.8181,108.16
20.064,11.123,369.62,26.234,70.906,0.9335,2.2736,191.34,3.4421,143.78,14.146,13.18
17.228,2.3167,4.8216,308.49,40.242,1.0124,4.837,7.7848,24.423,9.4393,95.317,220.59
3.7871,1.3835,7.0326,7.0843,44.035,1.262,11.397,3.4609,4156.2,5.4639,21.296,11.591
13.836,1.1041,22.334,7.0117,88.215,1.7284,31.6,3.2027,54.677,23.498,89.372,48.535
4.2197,1.0107,2493.2,33.446,38.442,2.5908,121.63,3.7308,15.44,545.41,14.83,916.85
18.222,0.99784,326.75,1622.9,83.648,4.2987,1731.8,3.8707,9.5178,32.961,12.158,5247.5
15.123,1.0314,46.74,59.7,100.89,8.013,30336.0,5.3222,7.5598,16.031,17.351,237.17
8.1201,1.097,38.768,18.97,56.654,17.159,748.55,8.8145,6.8068,14.782,30.818,61.019
9.6515,1.1891,43.527,12.493,48.271,43.974,297.94,17.791,6.5952,16.08,57.367,40.973
14.231,1.3048,53.466,10.377,53.913,149.34,199.44,46.068,6.6951,18.461,94.85,51.405
39.05,1.9114,117.81,10.347,113.85,776.49,153.5,348.83,8.5849,31.949,133.51,39.052
73.755,3.9872,334.89,17.893,346.49,245.86,233.31,274.77,16.671,75.553,182.1,63.543
